date,rows
2020-01-07,8599
2020-01-08,10061
2020-01-09,10328
2020-01-10,12126
2020-01-11,11594
2020-01-12,12146
2020-01-13,11665
2020-01-14,11449
2020-01-15,12972
2020-01-16,12900
2020-01-17,13391
2020-01-18,12695
2020-01-19,13476
2020-01-20,13465
2020-01-21,11302
2020-01-22,10244
2020-01-23,10291
2020-01-24,11398
2020-01-25,11152
2020-01-26,11909
2020-01-27,11243
2020-01-28,11687
2020-01-29,10803
2020-01-30,12257
2020-01-31,20693
2020-02-01,24928
2020-02-02,24628
2020-02-03,24638
2020-02-04,22177
2020-02-05,21714
2020-02-06,22885
2020-02-07,22520
2020-02-08,21954
2020-02-10,20534
2020-02-11,16771
2020-02-12,17631
2020-02-13,17407
2020-02-14,16618
2020-02-15,16184
2020-02-16,16869
2020-02-17,17112
2020-02-18,17003
2020-02-19,16282
2020-02-20,16719
2020-02-21,18318
2020-02-22,18282
2020-02-23,19434
2020-02-24,19016
2020-02-25,18450
2020-02-26,20080
2020-02-27,20638
2020-02-28,21777
2020-02-29,22599
2020-03-01,25289
2020-03-02,26740
2020-03-03,23036
2020-03-04,23015
2020-03-05,23421
2020-03-06,24632
2020-03-07,27786
2020-03-08,28074
2020-03-09,28922
2020-03-10,29437
2020-03-11,29611
2020-03-12,30143
2020-03-13,34127
2020-03-14,36231
2020-03-15,38732
2020-03-16,35789
2020-03-17,35432
2020-03-18,36776
2020-03-19,39189
2020-03-20,38960
2020-03-21,42341
2020-03-22,42887
2020-03-23,42383
2020-03-24,32047
2020-03-25,32959
2020-03-26,30102
2020-03-27,35196
2020-03-29,33193
2020-03-30,30440
2020-03-31,30973
2020-04-01,23603
2020-04-02,25123
2020-04-03,24139
2020-04-04,22470
2020-04-05,22932
2020-04-06,22022
2020-04-07,23590
2020-04-08,24875
2020-04-09,21625
2020-04-10,19917
2020-04-11,28312
2020-04-12,24429
2020-04-13,25334
2020-04-14,28188
2020-04-15,30838
2020-04-16,31778
2020-04-17,34299
2020-04-18,33537
2020-04-19,34840
2020-04-20,33079
2020-04-21,27958
2020-04-22,27633
2020-04-23,33713
2020-04-24,35698
2020-04-25,32982
2020-04-26,33736
2020-04-27,31666
2020-04-28,31885
2020-04-29,30538
2020-04-30,32193
2020-05-01,34977
2020-05-02,34597
2020-05-03,36842
2020-05-05,31364
2020-05-06,34035
2020-05-07,36521
2020-05-08,38125
2020-05-09,38896
2020-05-10,39253
2020-05-11,39545
2020-05-12,40648
2020-05-13,40729
2020-05-14,42588
2020-05-15,41351
2020-05-16,43556
2020-05-17,42661
2020-05-18,42230
2020-05-19,48415
2020-05-20,48767
2020-05-21,48763
2020-05-22,52221
2020-05-23,51777
2020-05-24,53880
2020-05-25,52384
2020-05-26,52241
2020-05-27,52697
2020-05-28,54017
2020-05-29,49735
2020-05-30,47213
2020-05-31,47920
2020-06-01,49480
2020-06-02,41794
2020-06-03,56412
2020-06-04,56343
2020-06-05,55374
2020-06-06,55723
2020-06-07,55691
2020-06-08,55114
2020-06-09,53184
2020-06-10,56025
2020-06-11,53734
2020-06-12,51760
2020-06-13,51263
2020-06-14,51977
2020-06-15,51220
2020-06-16,49342
2020-06-17,48034
2020-06-18,52452
2020-06-19,51076
2020-06-20,50523
2020-06-21,52750
2020-06-22,51408
2020-06-23,53126
2020-06-24,50315
2020-06-25,49947
2020-06-26,53296
2020-06-27,49965
2020-06-28,55807
2020-06-29,51796
2020-06-30,50837
2020-07-01,39294
2020-07-02,47400
2020-07-03,50046
2020-07-04,45831
2020-07-05,48183
2020-07-06,53958
2020-07-07,58239
2020-07-08,60620
2020-07-09,59823
2020-07-10,60984
2020-07-11,59235
2020-07-12,61548
2020-07-13,58142
2020-07-14,60884
2020-07-15,64844
2020-07-16,65909
2020-07-17,69522
2020-07-18,71242
2020-07-19,72681
2020-07-20,73490
2020-07-21,78459
2020-07-22,76544
2020-07-23,73735
2020-07-24,66321
2020-07-25,61738
2020-07-26,56628
2020-07-27,51904
2020-07-28,48633
2020-07-29,47129
2020-07-30,42597
2020-07-31,41386
2020-08-01,49018
2020-08-02,56915
2020-08-03,60220
2020-08-04,62897
2020-08-05,62775
2020-08-06,65629
2020-08-07,65459
2020-08-08,63626
2020-08-09,65759
2020-08-10,63581
2020-08-11,67341
2020-08-12,62291
2020-08-13,58256
2020-08-14,55637
2020-08-15,56307
2020-08-16,61161
2020-08-17,58064
2020-08-18,59532
2020-08-19,56615
2020-08-20,56884
2020-08-21,56413
2020-08-22,59918
2020-08-23,61798
2020-08-24,56653
2020-08-25,53599
2020-08-26,50555
2020-08-27,45804
2020-08-28,42411
2020-08-29,38851
2020-08-30,41044
2020-08-31,38184
2020-09-01,50505
2020-09-02,57091
2020-09-03,56600
2020-09-04,51574
2020-09-05,54757
2020-09-06,57197
2020-09-07,56517
2020-09-08,57934
2020-09-09,55093
2020-09-10,53706
2020-09-11,54083
2020-09-12,56030
2020-09-13,57648
2020-09-14,53640
2020-09-15,51723
2020-09-16,51324
2020-09-17,53535
2020-09-18,52718
2020-09-19,54462
2020-09-20,56321
2020-09-21,56634
2020-09-22,56993
2020-09-23,53481
2020-09-24,59397
2020-09-25,58339
2020-09-26,56994
2020-09-27,60405
2020-09-28,52050
2020-09-29,45520
2020-09-30,44328
2020-10-01,55490
2020-10-02,61268
2020-10-03,63647
2020-10-04,68683
2020-10-05,65644
2020-10-06,64808
2020-10-07,64092
2020-10-08,61124
2020-10-09,59613
2020-10-10,61002
2020-10-11,63792
2020-10-12,60753
2020-10-13,60052
2020-10-14,60126
2020-10-15,63456
2020-10-16,63400
2020-10-17,59317
2020-10-18,63612
2020-10-19,66056
2020-10-20,67798
2020-10-21,63537
2020-10-22,58995
2020-10-23,59308
2020-10-24,44668
2020-10-25,62205
2020-10-26,61438
2020-10-27,59791
2020-10-28,53927
2020-10-29,50627
2020-10-30,40439
2020-10-31,45214
2020-11-01,59677
2020-11-02,56579
2020-11-03,60857
2020-11-04,65141
2020-11-05,62773
2020-11-06,65093
2020-11-07,65031
2020-11-08,62963
2020-11-09,62633
2020-11-10,67112
2020-11-11,58432
2020-11-12,69377
2020-11-13,59629
2020-11-14,69300
2020-11-15,69192
2020-11-16,65379
2020-11-17,65224
2020-11-18,66575
2020-11-19,68755
2020-11-20,69349
2020-11-21,69332
2020-11-22,70824
2020-11-23,66037
2020-11-24,62199
2020-11-25,59205
2020-11-26,59747
2020-11-27,60654
2020-11-28,54764
2020-11-29,50675
2020-11-30,43443
2020-12-01,62545
2020-12-02,64565
2020-12-03,65127
2020-12-04,63118
2020-12-05,63264
2020-12-06,66540
2020-12-07,63250
2020-12-08,63077
2020-12-09,68150
2020-12-10,65056
2020-12-11,67013
2020-12-12,66257
2020-12-13,67479
2020-12-14,68345
2020-12-15,68999
2020-12-16,71626
2020-12-17,75102
2020-12-18,70400
2020-12-19,63670
2020-12-20,66665
2020-12-21,64892
2020-12-22,65573
2020-12-23,63753
2020-12-24,60232
2020-12-25,58204
2020-12-26,58243
2020-12-27,55425
2020-12-28,52063
2020-12-29,49127
2020-12-30,49229
2020-12-31,39494
2021-01-01,46560
2021-01-02,43577
2021-01-03,46823
2021-01-04,53921
2021-01-05,59326
2021-01-06,64154
2021-01-07,64726
2021-01-08,68308
2021-01-09,68583
2021-01-10,70249
2021-01-11,67647
2021-01-12,65043
2021-01-13,18851
2021-01-14,47230
2021-01-15,64075
2021-01-16,64830
2021-01-17,62710
2021-01-18,58916
2021-01-19,62422
2021-01-20,63549
2021-01-21,68216
2021-01-22,66686
2021-01-23,66155
2021-01-24,67623
2021-01-25,63677
2021-01-26,62557
2021-01-27,62603
2021-01-28,58789
2021-01-29,56533
2021-01-30,55239
2021-01-31,53339
2021-02-01,49435
2021-02-02,59176
2021-02-03,64473
2021-02-04,70964
2021-02-05,70185
2021-02-06,72782
2021-02-07,71956
2021-02-08,71011
2021-02-09,68169
2021-02-10,64246
2021-02-11,63419
2021-02-12,62316
2021-02-13,66450
2021-02-14,67871
2021-02-15,67446
2021-02-16,66785
2021-02-17,62654
2021-02-18,65217
2021-02-19,64813
2021-02-20,63779
2021-02-21,67034
2021-02-22,61195
2021-02-23,60833
2021-02-24,68365
2021-02-25,69661
2021-02-26,69715
2021-02-27,57657
2021-02-28,49936
2021-03-01,40984
2021-03-02,59297
2021-03-03,70714
2021-03-04,58443
2021-03-05,64421
2021-03-06,67484
2021-03-07,69151
2021-03-08,70604
2021-03-09,61978
2021-03-10,62460
2021-03-11,61893
2021-03-12,61564
2021-03-13,63377
2021-03-14,61911
2021-03-15,61378
2021-03-16,59789
2021-03-17,60397
2021-03-18,57778
2021-03-19,44181
2021-03-20,52585
2021-03-21,56427
2021-03-22,50660
2021-03-23,57941
2021-03-24,57333
2021-03-25,61446
2021-03-26,62001
2021-03-27,63603
2021-03-28,62426
2021-03-29,61683
2021-03-30,54882
2021-03-31,48451
2021-04-01,36367
2021-04-02,39329
2021-04-03,40110
2021-04-04,40462
2021-04-05,47863
2021-04-06,52793
2021-04-07,52818
2021-04-08,55901
2021-04-09,57579
2021-04-10,61084
2021-04-11,62212
2021-04-12,61338
2021-04-13,61717
2021-04-14,63564
2021-04-15,62748
2021-04-16,63151
2021-04-17,61988
2021-04-18,62789
2021-04-19,59884
2021-04-20,59732
2021-04-21,61761
2021-04-22,59384
2021-04-23,58775
2021-04-24,58677
2021-04-25,58126
2021-04-26,54958
2021-04-27,49063
2021-04-28,49215
2021-04-29,48507
2021-04-30,43449
2021-05-01,29378
2021-05-02,35377
2021-05-03,40067
2021-05-04,43219
2021-05-05,41275
2021-05-06,49237
2021-05-07,52784
2021-05-08,55408
2021-05-09,58647
2021-05-10,57505
2021-05-11,57741
2021-05-12,56255
2021-05-13,56012
2021-05-14,56250
2021-05-15,57120
2021-05-16,56129
2021-05-17,58273
2021-05-18,58854
2021-05-19,60695
2021-05-20,57853
2021-05-21,54831
2021-05-22,57714
2021-05-23,57767
2021-05-24,54053
2021-05-25,50760
2021-05-26,49735
2021-05-27,44319
2021-05-28,42005
2021-05-29,38666
2021-05-30,38915
2021-05-31,34683
2021-06-01,32671
2021-06-02,44008
2021-06-03,48525
2021-06-04,49857
2021-06-05,50391
2021-06-06,50840
2021-06-07,49480
2021-06-08,51190
2021-06-09,48952
2021-06-10,49291
2021-06-11,46809
2021-06-12,46666
2021-06-13,48116
2021-06-14,49939
2021-06-15,48976
2021-06-16,47533
2021-06-17,49186
2021-06-18,48479
2021-06-19,48674
2021-06-20,47650
2021-06-21,44809
2021-06-22,44415
2021-06-23,43339
2021-06-24,44907
2021-06-25,48071
2021-06-26,49103
2021-06-27,50322
2021-06-28,46231
2021-06-29,40819
2021-06-30,34767
2021-07-01,42223
2021-07-02,49731
2021-07-03,51308
2021-07-04,51112
2021-07-05,52291
2021-07-06,51697
2021-07-07,50578
2021-07-08,48070
2021-07-09,48415
2021-07-10,47470
2021-07-11,49718
2021-07-12,47837
2021-07-13,49024
2021-07-14,47666
2021-07-15,48507
2021-07-16,52124
2021-07-17,49689
2021-07-18,51614
2021-07-19,50631
2021-07-20,48808
2021-07-21,44221
2021-07-22,44913
2021-07-23,42407
2021-07-24,42000
2021-07-25,42164
2021-07-26,42384
2021-07-27,38509
2021-07-28,38428
2021-07-29,37706
2021-07-30,35523
2021-07-31,38908
2021-08-01,37188
2021-08-02,34527
2021-08-03,34001
2021-08-04,39352
2021-08-05,41013
2021-08-06,41880
2021-08-07,41600
2021-08-08,41219
2021-08-09,42539
2021-08-10,43923
2021-08-11,44124
2021-08-12,42753
