database,schema,table,role,hour,rows
WEB,dbo,FEEDADS,feed_ads,20,173283
WEB,dbo,FEEDADS,feed_ads,21,482665
WEB,dbo,FEEDADS,feed_ads,22,718518
WEB,dbo,FEEDADS,feed_ads,23,641108
WEB,dbo,FEEDEXTRAS,feed_extras,0,270370
WEB,dbo,FEEDEXTRAS,feed_extras,1,716
WEB,dbo,FEEDEXTRAS,feed_extras,2,691
WEB,dbo,FEEDEXTRAS,feed_extras,3,564
WEB,dbo,FEEDEXTRAS,feed_extras,4,402
WEB,dbo,FEEDEXTRAS,feed_extras,5,932
WEB,dbo,FEEDEXTRAS,feed_extras,6,980
WEB,dbo,FEEDEXTRAS,feed_extras,7,504
WEB,dbo,FEEDEXTRAS,feed_extras,8,751
WEB,dbo,FEEDEXTRAS,feed_extras,9,592
WEB,dbo,FEEDEXTRAS,feed_extras,10,873
WEB,dbo,FEEDEXTRAS,feed_extras,11,1492
WEB,dbo,FEEDEXTRAS,feed_extras,12,750
WEB,dbo,FEEDEXTRAS,feed_extras,13,346
WEB,dbo,FEEDEXTRAS,feed_extras,14,426
WEB,dbo,FEEDEXTRAS,feed_extras,15,647
WEB,dbo,FEEDEXTRAS,feed_extras,16,2197
WEB,dbo,FEEDEXTRAS,feed_extras,17,906
WEB,dbo,FEEDEXTRAS,feed_extras,18,978
WEB,dbo,FEEDEXTRAS,feed_extras,19,1127
WEB,dbo,FEEDEXTRAS,feed_extras,20,2535
WEB,dbo,FEEDEXTRAS,feed_extras,21,1132
WEB,dbo,FEEDEXTRAS,feed_extras,22,967
WEB,dbo,FEEDEXTRAS,feed_extras,23,668
Megatron,dbo,PhyronVideos,phyron_videos,1,1639
Megatron,dbo,PhyronVideos,phyron_videos,2,830
Megatron,dbo,PhyronVideos,phyron_videos,3,13725
Megatron,dbo,PhyronVideos,phyron_videos,4,54
Megatron,dbo,PhyronVideos,phyron_videos,5,1192
Megatron,dbo,PhyronVideos,phyron_videos,6,6027
Megatron,dbo,PhyronVideos,phyron_videos,7,8907
Megatron,dbo,PhyronVideos,phyron_videos,8,6
Megatron,dbo,PhyronVideos,phyron_videos,9,177
Megatron,dbo,PhyronVideos,phyron_videos,10,2815
Megatron,dbo,PhyronVideos,phyron_videos,11,16155
Megatron,dbo,PhyronVideos,phyron_videos,12,26
Megatron,dbo,PhyronVideos,phyron_videos,13,1975
Megatron,dbo,PhyronVideos,phyron_videos,14,9611
Megatron,dbo,PhyronVideos,phyron_videos,15,13885
Megatron,dbo,PhyronVideos,phyron_videos,16,3904
Megatron,dbo,PhyronVideos,phyron_videos,17,6118
Megatron,dbo,PhyronVideos,phyron_videos,18,2645
Megatron,dbo,PhyronVideos,phyron_videos,19,6676
Megatron,dbo,PhyronVideos,phyron_videos,21,303
Megatron,dbo,PhyronVideos,phyron_videos,22,2465
Megatron,dbo,PhyronVideos,phyron_videos,23,6920
Megatron,dbo,ActivityLog,META_activity,0,214718
Megatron,dbo,ActivityLog,META_activity,1,208136
Megatron,dbo,ActivityLog,META_activity,2,201445
Megatron,dbo,ActivityLog,META_activity,3,200810
Megatron,dbo,ActivityLog,META_activity,4,210766
Megatron,dbo,ActivityLog,META_activity,5,214809
Megatron,dbo,ActivityLog,META_activity,6,210068
Megatron,dbo,ActivityLog,META_activity,7,206635
Megatron,dbo,ActivityLog,META_activity,8,211548
Megatron,dbo,ActivityLog,META_activity,9,199293
Megatron,dbo,ActivityLog,META_activity,10,194755
Megatron,dbo,ActivityLog,META_activity,11,184592
Megatron,dbo,ActivityLog,META_activity,12,188686
Megatron,dbo,ActivityLog,META_activity,13,179431
Megatron,dbo,ActivityLog,META_activity,14,183366
Megatron,dbo,ActivityLog,META_activity,15,181995
Megatron,dbo,ActivityLog,META_activity,16,180029
Megatron,dbo,ActivityLog,META_activity,17,178438
Megatron,dbo,ActivityLog,META_activity,18,187804
Megatron,dbo,ActivityLog,META_activity,19,179588
Megatron,dbo,ActivityLog,META_activity,20,182261
Megatron,dbo,ActivityLog,META_activity,21,190487
Megatron,dbo,ActivityLog,META_activity,22,213171
Megatron,dbo,ActivityLog,META_activity,23,213370
Megatron,dbo,FileDetails_Log,META_file_ingest,4,15870
Megatron,dbo,FileDetails_Log,META_file_ingest,5,15526
Megatron,dbo,FileDetails_Log,META_file_ingest,6,4745
Megatron,dbo,FileDetails_Log,META_file_ingest,7,299
Megatron,dbo,FileDetails_Log,META_file_ingest,8,3004
Megatron,dbo,FileDetails_Log,META_file_ingest,9,6
Megatron,dbo,FileDetails_Log,META_file_ingest,10,63
Megatron,dbo,FileDetails_Log,META_file_ingest,11,43
Megatron,dbo,FileDetails_Log,META_file_ingest,12,2965
Megatron,dbo,FileDetails_Log,META_file_ingest,13,36
Megatron,dbo,FileDetails_Log,META_file_ingest,15,5
Megatron,dbo,FileDetails_Log,META_file_ingest,16,3013
Megatron,dbo,FileDetails_Log,META_file_ingest,17,24
Megatron,dbo,FileDetails_Log,META_file_ingest,18,12
Megatron,dbo,FileDetails_Log,META_file_ingest,20,27667
