database,schema,table,row_count,total_mb,used_mb
Megatron,dbo,zzz_VerticalResponseMasterList,73731,6.140625,6.140625
Megatron,dbo,obr_VehiclePerformance_V7,73295,18.445312,11.562500
Megatron,dbo,Listing_PRIC,71687,92.570312,46.640625
Megatron,dbo,AreaPrefix,69047,3.078125,3.031250
Megatron,dbo,CarQuery_Temp,68267,13.265625,13.250000
Megatron,dbo,Impersonation,65123,26.804687,20.039062
Megatron,dbo,fbAutomotiveCatalog_data_v4,60708,182.140625,182.007812
Megatron,dbo,fbAutomotiveCatalog_data_v4_temp,60708,970.843750,440.500000
Megatron,dbo,zzz_silverpop_buyer_account_restore,59699,4.507812,4.500000
Megatron,dbo,_AllFlights,48978,22.445312,22.414062
Megatron,dbo,zzz_DealerVault_SV,48076,143.648437,98.398437
Megatron,dbo,zzz_PlatformAuto_Delisted,46655,3.281250,3.234375
Megatron,dbo,CountyZCTA,44410,8.203125,8.187500
Megatron,dbo,zzz_Static_ZipCode2PubID,44014,1.515625,1.515625
Megatron,dbo,zzz_PlatformAuto_Delisted_v2,43690,2.265625,2.234375
Megatron,dbo,ZipCode,43198,246.703125,246.671875
Megatron,dbo,obr_DisplayGeoClicks_V10,41881,3.945312,3.585937
Megatron,dbo,obr_DisplayGeoClicks_V7,41881,4.531250,3.796875
Megatron,dbo,ADPCreatives,40164,16.968750,13.867187
Megatron,dbo,zzz_Receipt,37970,16.968750,16.953125
Megatron,dbo,zzz_strikezone_numbers,37615,1.125000,1.000000
Megatron,dbo,__AllAdEzCampaigns_NewCancel_PrepareTemp,37393,7.195312,7.148437
Megatron,dbo,SF_Leads,36469,29.695312,29.664062
Megatron,dbo,ZipCounty,32989,2.078125,2.023437
Megatron,dbo,ListingAttributeVertical,32103,1.070312,1.054687
Megatron,dbo,zzz_ListingFlagReason,29461,0.734375,0.726562
Megatron,dbo,cl_Mapped,28831,5.882812,5.875000
Megatron,dbo,zzz_DealerVault_SV_APPT,28490,19.437500,16.617187
Megatron,dbo,EmailObjectCounts,27544,8.632812,8.070312
Megatron,dbo,Flight_Range_Data,27390,3.257812,3.226562
Megatron,dbo,zzz_DealerVault_INV,27185,164.968750,100.593750
Megatron,dbo,PaidLeadDetails,26897,8.867187,6.593750
Megatron,dbo,obr_NetworkPerformance_Totals_V7_Lang,26069,2.867187,2.773437
Megatron,dbo,obr_NetworkPerformance_V7_Lang,26069,2.929687,2.835937
Megatron,dbo,imageproxy_blanks,26008,0.453125,0.445312
Megatron,dbo,zzz_DealerVault_SL,25358,191.343750,100.781250
Megatron,dbo,ListingHistory,24536,1.742187,1.445312
Megatron,dbo,CarModels,24192,0.960937,0.914062
Megatron,dbo,Temp_FeedListingVehicle,23674,101.140625,100.796875
Megatron,dbo,zzz_ListingProofing,23673,1.570312,1.523437
Megatron,dbo,AccountSecurity,23395,1.570312,1.140625
Megatron,dbo,Active_Campaigns,22099,5.070312,5.046875
Megatron,dbo,CampaignWebsite,22099,0.632812,0.609375
Megatron,dbo,zzz_JaneDealers20180209,20518,4.703125,4.648437
Megatron,dbo,zzz__AlertsLabels,20468,1.101562,1.085937
Megatron,dbo,eBillingInfo,19914,1.507812,1.500000
Megatron,dbo,zzz_DealerVaultInfo,19341,3.953125,3.898437
Megatron,dbo,zzz_ADPLocalCategories,19314,1.093750,0.773437
Megatron,dbo,zzz_AccountSecurity_WTF,19066,0.671875,0.445312
Megatron,dbo,VastPhoneData,18752,4.828125,4.789062
Megatron,dbo,XferLog,18462,4.757812,4.742187
Megatron,dbo,__AllAdEzCampaigns,17794,10.570312,9.437500
Megatron,dbo,obr_customerlist_v4_201612,17484,2.140625,2.125000
Megatron,dbo,zzz_Temp_PetFinderPets,15734,17.828125,17.750000
Megatron,dbo,ListingMigrate,13941,0.257812,0.203125
Megatron,dbo,zzz_ConnTest2Leads,13269,4.445312,4.398437
Megatron,dbo,obr_PowerListingPerformance,13014,1.078125,1.031250
Megatron,dbo,zzz_ListingPet,12950,0.507812,0.484375
Megatron,dbo,_Accounts_from_All,12465,5.140625,3.843750
Megatron,dbo,zzz_vehiclelistings_missing,12303,11.148437,10.671875
Megatron,dbo,zzz_ListingImagesFlat,12241,2.757812,2.640625
Megatron,dbo,ADPCampaigns,12215,11.078125,8.312500
Megatron,dbo,zzz_BannerKeyword,11943,0.390625,0.382812
Megatron,dbo,_ADAccounts,11916,1.953125,1.664062
Megatron,dbo,zzz__ADRefresh_Terminated,11814,1.554687,1.085937
Megatron,dbo,zzz_SF_Subscriptions,11744,8.945312,6.570312
Megatron,dbo,RatchetEmailLog,11283,1.632812,1.195312
Megatron,dbo,AlertList,11270,0.632812,0.609375
Megatron,dbo,LeadSync,11204,0.960937,0.703125
Megatron,dbo,zzz_BannerGeoDistance,10959,0.273437,0.265625
Megatron,dbo,Account_Created_LastUpload,10675,0.914062,0.617187
Megatron,dbo,ListingPrintEditions,10342,0.609375,0.523437
Megatron,dbo,ListingMakeModel,10241,1.070312,0.539062
Megatron,dbo,zzz_WhosCallingRuns,10203,0.507812,0.375000
Megatron,dbo,CurrentADAccounts,10149,0.992187,0.929687
Megatron,dbo,zzz_TempCurrentADAccounts,10149,1.054687,0.835937
Megatron,dbo,zzz_DealerVault_Import_Log,10147,1.476562,1.296875
Megatron,dbo,zzz_CGExcel,10009,0.679687,0.679687
Megatron,dbo,Extension,10000,0.328125,0.296875
Megatron,dbo,ADPFeeds,9410,8.070312,5.945312
Megatron,dbo,CityGridCategory,9315,0.578125,0.578125
Megatron,dbo,NewPrintTranslate,9058,0.578125,0.578125
Megatron,dbo,CharterCustomerFinal,9000,0.453125,0.445312
Megatron,dbo,CharterCustomerMissingDates,9000,0.453125,0.414062
Megatron,dbo,zzz_RateRegionSubClass,8917,0.234375,0.218750
Megatron,dbo,zzz_ConnTest2Leads_BU20151211,8645,2.953125,2.953125
Megatron,dbo,zzz_start_of_performance,8623,0.921875,0.687500
Megatron,dbo,obr_VehicleSummary_V7,8253,2.859375,1.820312
Megatron,dbo,zzz__Alerts,8236,2.609375,2.359375
Megatron,dbo,obr_VehicleSummary_V10,8183,0.695312,0.695312
Megatron,dbo,zzz_URLEncodeNumbers,8000,0.140625,0.132812
Megatron,dbo,WebCrawlerImportSummary,7979,2.710937,1.421875
Megatron,dbo,leadsbypub,7974,0.867187,0.585937
Megatron,dbo,zzz__ADRefresh_RoleChange,7789,0.312500,0.234375
Megatron,dbo,LocalComZip,7296,0.273437,0.226562
Megatron,dbo,AccountPosition,7175,0.726562,0.562500
Megatron,dbo,zzz_SponsoredZipCode,6869,0.265625,0.210937
Megatron,dbo,RANSubscriptionMeta,6490,5.718750,4.171875
Megatron,dbo,CommonClientIdMapping,6163,0.765625,0.703125
Megatron,dbo,_Accounts_from_Feeds,6140,3.070312,2.257812
Megatron,dbo,zzz_JO_AllProducts_V2,6132,4.710937,4.656250
Megatron,dbo,AccountLeads,6041,0.218750,0.203125
Megatron,dbo,RatchetDisplayProfile,5959,0.812500,0.570312
Megatron,dbo,zzz_AccountSavedQuery,5958,2.382812,2.328125
Megatron,dbo,Client,5328,2.195312,1.406250
Megatron,dbo,_Accounts_from_Banners,5312,2.546875,1.843750
Megatron,dbo,ADPSmartAd,4941,1.218750,1.164062
