date,rows
2021-07-05,15298
2021-07-06,13736
2021-07-07,12592
2021-07-08,12571
2021-07-09,11920
2021-07-10,12257
2021-07-11,13504
2021-07-12,12698
2021-07-13,13503
2021-07-14,12970
2021-07-15,12673
2021-07-16,13249
2021-07-17,13466
2021-07-18,15667
2021-07-19,14595
2021-07-20,13491
2021-07-21,10018
2021-07-22,10406
2021-07-23,10147
2021-07-24,10420
2021-07-25,11676
2021-07-26,9682
2021-07-27,9180
2021-07-28,8550
2021-07-29,7876
2021-07-30,6916
2021-07-31,7568
2021-08-01,6997
2021-08-02,5761
2021-08-03,5941
2021-08-04,9733
2021-08-05,10393
2021-08-06,10335
2021-08-07,10682
2021-08-08,11781
2021-08-09,12919
2021-08-10,13218
2021-08-11,14312
2021-08-12,12925
2021-08-13,12200
2021-08-14,9230
2021-08-15,985
2021-08-16,4966
2021-08-17,5323
2021-08-18,9988
2021-08-19,14422
2021-08-20,13100
2021-08-21,13856
2021-08-22,18223
2021-08-23,13645
2021-08-24,17695
2021-08-25,15890
2021-08-26,14129
2021-08-27,12844
2021-08-28,13995
2021-08-29,12592
2021-08-30,8891
2021-08-31,10120
2021-09-01,8287
2021-09-02,10430
2021-09-03,10856
2021-09-04,11318
2021-09-05,11463
2021-09-06,12632
2021-09-07,12378
2021-09-08,14060
2021-09-09,13637
2021-09-10,13661
2021-09-11,13947
2021-09-12,15557
2021-09-13,13236
2021-09-14,13378
2021-09-15,13481
2021-09-16,7987
2021-09-17,7004
2021-09-18,10976
2021-09-19,13052
2021-09-20,13820
2021-09-21,14667
2021-09-22,14769
2021-09-23,15765
2021-09-24,17223
2021-09-25,20007
2021-09-26,18650
2021-09-27,11872
2021-09-28,11157
2021-09-29,10610
2021-09-30,5612
2021-10-01,7671
2021-10-02,10342
2021-10-03,10588
2021-10-04,11359
2021-10-05,10684
2021-10-06,12216
2021-10-07,10923
2021-10-08,13558
2021-10-09,11349
2021-10-10,11308
2021-10-11,11213
2021-10-12,11203
2021-10-13,12143
2021-10-14,12549
2021-10-15,12884
2021-10-16,13253
2021-10-17,14566
2021-10-18,13274
2021-10-19,12371
2021-10-20,12446
2021-10-21,11916
2021-10-22,11334
2021-10-23,8916
2021-10-24,9594
2021-10-25,8653
2021-10-26,7950
2021-10-27,7887
2021-10-28,7438
2021-10-29,7584
2021-10-30,7831
2021-10-31,6713
2021-11-01,7460
2021-11-02,4329
2021-11-03,10945
2021-11-04,12681
2021-11-05,11816
2021-11-06,11392
2021-11-07,11964
2021-11-08,11730
2021-11-09,12465
2021-11-10,9408
2021-11-11,11642
2021-11-12,11373
2021-11-13,12667
2021-11-14,13630
2021-11-15,13057
2021-11-16,13384
2021-11-17,13331
2021-11-18,12118
2021-11-19,12199
2021-11-20,13096
2021-11-21,13192
2021-11-22,10635
2021-11-23,10917
2021-11-24,9862
2021-11-25,9177
2021-11-26,8183
2021-11-27,8255
2021-11-28,9117
2021-11-29,6212
2021-11-30,5603
2021-12-01,7745
2021-12-02,11134
2021-12-03,6744
2021-12-04,5249
2021-12-05,5338
2021-12-06,7514
2021-12-07,9291
2021-12-08,11055
2021-12-09,10900
2021-12-10,13657
2021-12-11,15239
2021-12-12,15984
2021-12-13,13908
2021-12-14,14610
2021-12-15,15060
2021-12-16,14025
2021-12-17,13015
2021-12-18,13882
2021-12-19,15614
2021-12-20,14309
2021-12-21,12961
2021-12-22,12682
2021-12-23,12505
2021-12-24,13019
2021-12-25,13474
2021-12-26,15517
2021-12-27,12026
2021-12-28,8222
2021-12-29,6478
2021-12-30,5959
2021-12-31,5943
2022-01-01,6975
2022-01-02,8692
2022-01-03,8443
2022-01-04,9432
2022-01-05,10197
2022-01-06,10672
2022-01-07,11174
2022-01-08,12378
2022-01-09,13032
2022-01-10,11469
2022-01-11,12987
2022-01-12,14026
2022-01-13,15470
2022-01-14,16222
2022-01-15,17638
2022-01-16,19903
2022-01-17,18380
2022-01-18,15445
2022-01-19,15355
2022-01-20,14080
2022-01-21,12647
2022-01-22,13012
2022-01-23,13692
2022-01-24,10838
2022-01-25,8714
2022-01-26,7733
2022-01-27,6848
2022-01-28,6104
2022-01-29,6108
2022-01-30,6560
2022-01-31,4172
2022-02-01,6947
2022-02-02,9297
2022-02-03,9856
2022-02-04,11688
2022-02-05,12640
2022-02-06,14571
2022-02-07,12175
2022-02-08,13822
2022-02-09,14158
2022-02-10,13614
2022-02-11,14460
2022-02-12,15939
2022-02-13,14569
2022-02-14,10952
2022-02-15,12017
2022-02-16,12261
2022-02-17,12974
2022-02-18,13326
2022-02-19,15854
2022-02-20,16801
2022-02-21,15965
2022-02-22,11106
2022-02-23,8669
2022-02-24,6391
2022-02-25,4862
2022-02-26,5067
2022-02-27,5659
2022-02-28,3680
2022-03-01,7357
2022-03-02,9055
2022-03-03,8727
2022-03-04,9424
2022-03-05,9815
2022-03-06,10704
2022-03-07,10190
2022-03-08,10624
2022-03-09,11406
2022-03-10,12174
2022-03-11,11861
2022-03-12,13221
2022-03-13,13358
2022-03-14,12095
2022-03-15,12218
2022-03-16,11126
2022-03-17,10825
2022-03-18,10899
2022-03-19,10965
2022-03-20,10640
2022-03-21,9795
2022-03-22,10977
2022-03-23,11348
2022-03-24,11477
2022-03-25,10112
2022-03-26,10593
2022-03-27,10727
2022-03-28,6275
2022-03-29,3914
2022-03-30,3384
2022-03-31,3516
2022-04-01,10188
2022-04-02,13895
2022-04-03,14888
2022-04-04,12293
2022-04-05,10046
2022-04-06,12935
2022-04-07,12688
2022-04-08,11658
2022-04-09,12718
2022-04-10,12988
2022-04-11,11259
2022-04-12,11456
2022-04-13,10325
2022-04-14,8758
2022-04-15,9347
2022-04-16,9348
2022-04-17,9942
2022-04-18,7263
2022-04-19,7923
2022-04-20,7135
2022-04-21,7665
2022-04-22,7612
2022-04-23,6836
2022-04-24,7539
2022-04-25,6610
2022-04-26,6430
2022-04-27,5576
2022-04-28,4925
2022-04-29,3358
2022-04-30,3258
2022-05-01,6463
2022-05-02,9578
2022-05-03,8585
2022-05-04,9667
2022-05-05,9638
2022-05-06,9887
2022-05-07,10240
2022-05-08,11335
2022-05-09,10019
2022-05-10,10145
2022-05-11,9986
2022-05-12,10528
2022-05-13,10062
2022-05-14,10968
2022-05-15,11330
2022-05-16,9882
2022-05-17,11241
2022-05-18,8424
2022-05-19,10298
2022-05-20,9911
2022-05-21,10699
2022-05-22,11570
2022-05-23,8565
2022-05-24,7392
2022-05-25,6963
2022-05-26,5769
2022-05-27,4644
2022-05-28,4752
2022-05-29,5400
2022-05-30,5959
2022-05-31,4411
2022-06-01,5647
2022-06-02,6899
2022-06-03,6884
2022-06-04,7448
2022-06-05,9267
2022-06-06,8341
2022-06-07,8047
2022-06-08,8548
2022-06-09,7389
2022-06-10,7419
2022-06-11,7230
2022-06-12,7969
2022-06-13,6918
2022-06-14,7989
2022-06-15,8692
2022-06-16,9786
2022-06-17,11038
2022-06-18,11501
2022-06-19,12783
2022-06-20,12267
2022-06-21,12148
2022-06-22,11381
2022-06-23,10740
2022-06-24,10434
2022-06-25,10676
2022-06-26,12335
2022-06-27,8780
2022-06-28,7722
2022-06-29,6268
2022-06-30,6931
2022-07-01,8072
2022-07-02,7921
2022-07-03,8279
2022-07-04,8674
2022-07-05,9477
2022-07-06,10466
2022-07-07,10481
2022-07-08,10584
2022-07-09,11404
2022-07-10,13105
2022-07-11,11779
2022-07-12,12310
2022-07-13,11224
2022-07-14,12800
2022-07-15,11846
2022-07-16,10470
2022-07-17,11987
2022-07-18,10467
2022-07-19,10785
2022-07-20,10595
2022-07-21,10803
2022-07-22,10750
2022-07-23,12185
2022-07-24,13677
2022-07-25,11695
2022-07-26,10701
2022-07-27,9120
2022-07-28,7841
2022-07-29,6950
2022-07-30,7122
2022-07-31,8066
2022-08-01,10523
2022-08-02,11275
2022-08-03,10889
2022-08-04,10670
2022-08-05,10495
2022-08-06,10869
2022-08-07,12943
2022-08-08,11980
2022-08-09,12319
2022-08-10,12468
2022-08-11,11140
2022-08-12,10706
2022-08-13,11922
2022-08-14,12583
2022-08-15,11306
2022-08-16,10662
2022-08-17,12692
2022-08-18,10608
2022-08-19,11352
2022-08-20,13132
2022-08-21,13370
2022-08-22,13749
2022-08-23,12828
2022-08-24,10647
2022-08-25,10817
2022-08-26,11518
2022-08-27,11751
2022-08-28,13209
2022-08-29,12894
2022-08-30,13439
2022-08-31,11494
2022-09-01,10572
2022-09-02,10993
2022-09-03,11073
2022-09-04,12196
2022-09-05,12341
2022-09-06,11850
2022-09-07,12647
2022-09-08,12369
2022-09-09,13189
2022-09-10,13404
2022-09-11,13141
2022-09-12,12425
2022-09-13,13275
2022-09-14,12380
2022-09-15,12285
2022-09-16,11957
2022-09-17,12460
2022-09-18,13654
2022-09-19,12468
2022-09-20,12215
2022-09-21,12153
2022-09-22,12460
2022-09-23,12110
2022-09-24,12643
2022-09-25,14422
2022-09-26,11802
2022-09-27,10270
2022-09-28,10324
2022-09-29,8273
2022-09-30,9034
2022-10-01,11924
2022-10-02,13884
2022-10-03,13520
2022-10-04,13119
2022-10-05,14208
2022-10-06,13258
2022-10-07,11945
2022-10-08,11714
2022-10-09,12585
2022-10-10,12505
2022-10-11,12315
2022-10-12,13065
2022-10-13,13265
2022-10-14,13302
2022-10-15,12599
2022-10-16,15607
2022-10-17,15482
2022-10-18,14488
2022-10-19,12695
2022-10-20,12097
2022-10-21,11125
2022-10-22,11061
2022-10-23,12049
2022-10-24,10654
2022-10-25,9363
2022-10-26,8392
2022-10-27,7302
2022-10-28,6372
2022-10-29,5514
2022-10-30,6241
2022-10-31,4242
2022-11-01,5541
2022-11-02,8748
2022-11-03,9393
2022-11-04,10728
2022-11-05,10680
2022-11-06,11393
2022-11-07,10277
