raw_db,raw_schema,raw_table,ops,n_files,sample_files
,,staging_dms_declined_service_flattened,delete=1;insert=1,1,etl/SSIS/DMS/sp_insert_staging_DMS_Declined_Services.sql
,,fact_declined_service,delete=1;insert=1,1,etl/SSIS/DMS/sp_insert_staging_DMS_Declined_Services.sql
,dbo,source_dms_sales,insert=10,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Sales.sql
,,sales_source_count,insert=1,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Sales.sql
edw_staging,dbo,vin_lookup_table,insert=4,3,etl/SSIS/DMS/sp_insert_prestaging_DMS_Appointment.sql | etl/SSIS/DMS/sp_insert_prestaging_DMS_Sales.sql | etl/SSIS/DMS/sp_insert_prestaging_DMS_Service.sql
,,source_dms_sales,update=6,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Sales.sql
,,cdkapi-sales,update=2,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Sales.sql
,,source_dms_appointment,update=3,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Appointment.sql
,,cdkapi-appointments,delete=2,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Appointment.sql
,dbo,staging_alteryx_dms_addresses,insert=1,1,etl/SSIS/DMS/sp_insert_Alteryx_DMS_Addresses.sql
,,staging_dms_fact_sales,insert=1,1,etl/SSIS/DMS/sp_insert_staging_DMS.sql
,,cte,delete=5,1,etl/SSIS/DMS/sp_insert_staging_DMS.sql
,,dms_fact_sales,update=7,1,etl/SSIS/DMS/sp_update_DMS_Fact_CellPhone.sql
,,dms_fact_services,update=11,1,etl/SSIS/DMS/sp_update_DMS_Fact_CellPhone.sql
,,dms_fact_appointment,update=3,1,etl/SSIS/DMS/sp_update_DMS_Fact_CellPhone.sql
,dbo,source_dms_service,insert=10,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Service.sql
,,source_dms_service,update=3,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Service.sql
,,cdkapi-service,update=2,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Service.sql
,,pre1,update=2,1,etl/SSIS/DMS/sp_insert_prestaging_DMS_Service.sql
,,source_clientdb_clientdetails,insert=1,1,etl/SSIS/Email/sp_reset_Email.sql
,,juicereporting_twilio_contact_attempts,select_into=1,1,etl/SSIS/Email/sp_reset_Email.sql
3bhs001,clientdb,dbo,delete=1,1,etl/SSIS/Email/sp_reset_Email.sql
,,source_clientdb_emaildeliverysuccesses,delete=1,1,etl/SSIS/Email/sp_reset_Email.sql
