database,schema,table,row_count,total_mb,ops,n_files,sample_files
megatron,dbo,client,5328,2.2,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Sync Processes/upsert_client.sql
megatron,dbo,crm,1,0.0,delete=4;insert=4;update=3,3,etl/SSIS/CRM/sp_insert_CRM.sql | etl/SSIS/CRM/sp_insert_CRM_Daily.sql | etl/SSIS/CRM/sp_insert_CRM_RR3.sql
