component,subject,total,exceptions,days_active,first_seen,last_seen
franchise_rep_update_pending_process_2,smart_quote_process not called,111290,0,81,2026-03-26 23:01:00.977000,2026-06-14 14:12:00.427000
franchise_rep_upsert,"franchise_rep_upsert, Line: 236",64444,64444,81,2026-03-26 23:03:00.517000,2026-06-14 14:12:00.520000
lead_create_process,"lead_upsert, Line: 169",64317,64317,81,2026-03-26 23:03:00.517000,2026-06-14 14:12:00.520000
franchise_rep_upsert,"franchise_rep_upsert, Line: 106",64257,64257,81,2026-03-26 23:03:00.500000,2026-06-14 14:12:00.507000
franchise_consumer_franchise_rep_upsert,"franchise_consumer_franchise_rep_upsert, Line: 228",64251,64251,81,2026-03-26 23:03:00.517000,2026-06-14 14:12:00.520000
execute_every_1_min,Process send_email_queues,57337,0,81,2026-03-26 23:01:00.743000,2026-06-14 14:13:00.747000
lead_create_process,"lead_create_process, Line: 105",48917,48917,81,2026-03-26 23:25:01.077000,2026-06-14 13:23:00.953000
SQL execute_every_10_mins,Invoke FranchiseVehicleExport.ps1,24146,0,66,2026-03-27 07:41:00.790000,2026-06-13 10:21:01.133000
SQL execute_every_10_mins,Invoke ndr_log_create_receiver,22936,0,81,2026-03-26 23:01:00.803000,2026-06-14 14:11:01.343000
SQL execute_every_10_mins,initiate_campaign_receiver_queue_cleanup,22936,0,81,2026-03-26 23:01:00.790000,2026-06-14 14:11:01.327000
SQL execute_every_10_mins,Invoke spam_complaint_receiver,22936,0,81,2026-03-26 23:01:00.803000,2026-06-14 14:11:01.327000
SQL execute_every_10_mins,Invoke crm_lead_forwarding_email_export_process,22936,0,81,2026-03-26 23:01:00.803000,2026-06-14 14:11:01.360000
SQL execute_every_10_mins,Process Azure FranchiseConsumerTxnCreateQueue,22936,0,81,2026-03-26 23:01:00.820000,2026-06-14 14:11:01.373000
SQL execute_every_10_mins,Invoke franchise_status_upsert,22936,0,81,2026-03-26 23:01:00.803000,2026-06-14 14:11:01.343000
RLScriptService,FranchiseVehicleQuoteRebuildFromAzure.ps1,22936,6,81,2026-03-26 23:00:24.460000,2026-06-14 14:10:13.877000
