database,schema,table,row_count,total_mb,used_mb
oltp,dbo,logon,11930,2.281250,1.679687
oltp,dbo,model,11413,0.945312,0.679687
oltp,dbo,franchise_sample_data,10604,6.187500,6.171875
oltp,dbo,new_lead_delivery,10455,1.656250,1.226562
oltp,dbo,used_lead_delivery,10455,1.671875,1.234375
oltp,dbo,parse_consumer_response,9964,0.875000,0.656250
oltp,dbo,parse_consumer_response_item_expression,9950,1.984375,1.445312
oltp,dbo,PaymentHistory,9932,1.476562,1.429687
oltp,dbo,franchise,9920,5.976562,4.960937
oltp,dbo,smart_start_franchise,9822,6.218750,5.320312
oltp,dbo,smart_quote_used_franchise,9821,1.906250,1.492187
oltp,dbo,smart_follow_franchise,9819,1.609375,1.171875
oltp,dbo,oem_vehicle_locator_search_key_1,9611,1.296875,0.906250
oltp,dbo,franchise_vehicle_config_client,9574,2.257812,1.687500
oltp,dbo,franchise_responselogix_region,9573,0.804687,0.554687
oltp,dbo,responselogix_subregion,8980,1.085937,0.796875
oltp,Cleanup,IndexFragmentation,8840,2.085937,1.945312
oltp,dbo,responselogix_region,8473,1.796875,1.335937
oltp,dbo,vehicle_option_oem_vehicle_option_map,7830,1.078125,1.046875
oltp,dbo,PaymentNotification,7377,0.625000,0.578125
oltp,dbo,franchise_vehicle_quote_option,6720,2.695312,1.906250
oltp,dbo,franchise_logon,6635,0.765625,0.531250
oltp,dbo,redirect_email,6057,1.710937,1.226562
oltp,dbo,customer,6024,1.757812,1.296875
oltp,dbo,customer_group_detail,6020,0.281250,0.171875
oltp,dbo,vehicle_config_client,5927,1.570312,1.156250
oltp,dbo,customer_billing_group,5739,0.437500,0.257812
oltp,dbo,customer_group,5739,1.156250,0.843750
oltp,dbo,franchise_dealer_track,5732,0.351562,0.226562
oltp,dbo,temp_results_table,5729,0.703125,0.679687
oltp,dbo,customer_inventory_source_map,5611,1.062500,0.937500
oltp,dbo,AIS_VehicleCodes,5217,0.312500,0.289062
oltp,dbo,franchise_rep_notifications,5040,0.210937,0.156250
oltp,dbo,customer_inventory_source,4911,1.648437,1.203125
oltp,dbo,franchise_vehicle_option,4869,0.906250,0.875000
oltp,dbo,master_email_template_param,4440,0.890625,0.679687
oltp,dbo,franchise_salesforce,3971,0.203125,0.203125
oltp,dbo,Packages,3930,0.523437,0.406250
oltp,dbo,franchise_excluded_lead_sources,3897,0.562500,0.382812
oltp,dbo,_FOR_DELETE_accounts,3890,0.890625,0.859375
oltp,dbo,sales_force_account,3728,0.390625,0.390625
oltp,dbo,customer_group_contact,3571,0.328125,0.281250
