database,schema,table,row_count,total_mb,used_mb
DataStaging,core,ReviewRocketDealerSite,730,0.132812,0.117187
DataStaging,core,ReviewRocketConfiguration,497,0.320312,0.312500
DataStaging,AI,Log_Questions,134,1.906250,1.484375
DataStaging,core,ReviewRocketClickSite,103,0.070312,0.015625
DataStaging,RLData,make,76,0.070312,0.015625
DataStaging,dynamics,OptionSet,60,0.070312,0.015625
DataStaging,core,Stage_ReviewSite,30,0.070312,0.015625
DataStaging,AI,Log_Questions_insights,25,0.140625,0.062500
DataStaging,core,Stage_ReviewSource,11,0.070312,0.015625
DataStaging,core,Stage_ReviewSentimentDetail,10,0.070312,0.015625
DataStaging,core,Stage_ReviewSentiment,5,0.070312,0.015625
DataStaging,LVData,youtube_video_daily_stats,3,0.070312,0.015625
DataStaging,core,Stage_Category,2,0.070312,0.015625
DataStaging,core,Stage_TxnTypes,2,0.070312,0.015625
DataStaging,core,t_Surveys,0,124.453125,124.390625
DataStaging,MLdata,srpactions_daily,0,0.000000,0.000000
DataStaging,MLdata,VDPVINPerformance,0,0.000000,0.000000
DataStaging,RPData,Company,0,0.000000,0.000000
DataStaging,RPData,Messages,0,0.070312,0.015625
DataStaging,zuora,AccountingPeriodStage,0,0.000000,0.000000
